,words,emotions
494,brotherlik,happiness
495,browbeat,fear
496,bruis,weakness
497,brusqu,power
498,brutal,power
499,brutalis,power
500,brute,power
501,brutish,power
502,buckl,weakness
503,bug,weakness
504,bulki,weakness
505,bull,weakness
506,bulli,power
507,bullish,weakness
508,bum,weakness
509,bumpi,weakness
510,bungl,power
511,bungler,power
512,bunk,weakness
513,buoyanc,happiness
514,buoyant,weakness
515,burden,power
516,burdensom,power
517,burn,power
518,busi,weakness
519,busybodi,power
520,butcher,weakness
521,butcheri,power
522,byzantin,power
523,cackl,power
524,cajol,power
525,calam,power
526,calamit,power
527,calf_lov,happiness
528,callous,power
529,calm,weakness
530,calumni,power
531,cancer,weakness
532,candid,power
533,candor,power
534,cannib,power
535,capabl,weakness
536,capit,weakness
537,capitul,weakness
538,caprici,power
539,capsiz,weakness
540,captiv,weakness
541,captur,happiness
542,care,happiness
543,carefr,happiness
544,carefre,happiness
545,careless,power
546,caricatur,power
547,carnag,power
548,carp,power
549,cartoon,weakness
550,cartoonish,power
551,cashstrap,weakness
552,cast_down,sadness
553,castig,power
554,casualti,weakness
555,cataclysm,power
556,catalyst,power
557,catastroph,power
558,catch,happiness
559,catchi,power
560,caustic,power
561,cautionari,power
562,cautious,weakness
563,cave,weakness
564,celebr,weakness
565,celebratori,power
566,censur,power
567,chafe,power
568,chaff,power
569,chagrin,power
570,challeng,weakness
571,champ,weakness
572,champion,weakness
573,chao,power
574,chaotic,power
575,charg,happiness
576,charisma,power
577,charismat,power
578,charit,weakness
579,chariti,weakness
580,charm,power
581,chast,power
582,chasten,power
583,chastis,power
584,chatter,power
585,chatterbox,power
586,cheap,power
587,cheapen,power
588,cheat,power
589,cheater,power
590,cheer,happiness
591,cheer_up,happiness
592,cheeri,power
593,cheerless,sadness
594,cherish,power
595,cherub,power
596,chic,power
597,chide,power
598,childish,power
599,chill,fear
600,chilli,weakness
601,chirk_up,happiness
602,chit,power
603,chivalr,power
604,chivalri,power
605,choke,weakness
606,choler,anger
607,choppi,weakness
608,chore,weakness
609,chronic,weakness
610,chum,weakness
611,churn_up,disgust
612,civil,weakness
613,clamor,weakness
614,clariti,weakness
615,clash,weakness
616,class_feel,anger
617,classic,weakness
618,clean,weakness
619,cleanli,weakness
620,clear,power
621,clearcut,power
622,clearer,power
623,clever,power
624,clich,power
625,cliff-hang,happiness
626,cliqu,weakness
627,clog,weakness
628,close,power
629,cloud,power
630,clout,power
631,clumsi,power
632,coars,weakness
633,coax,power
634,cocki,power
635,coddl,weakness
636,coerc,power
637,coercion,power
638,coerciv,power
639,cogent,power
640,coher,weakness
641,cohes,weakness
642,cold,power
643,coldheart,fear
644,coldhearted,fear
645,collaps,weakness
646,collid,weakness
647,collud,power
648,collus,power
649,color,weakness
650,coloss,weakness
651,combat,weakness
652,comeback,weakness
653,comedi,weakness
654,come,power
655,comfort,power
656,comic,weakness
657,commend,power
658,commensur,weakness
659,commiser,power
660,commit,weakness
661,commodi,weakness
662,commonplac,weakness
663,commonsens,weakness
664,commot,power
665,compact,weakness
666,compass,power
667,compassion,power
668,compat,happiness
669,compel,power
670,compens,power
671,compet,weakness
672,competit,weakness
673,complac,power
674,complain,power
675,complaint,power
676,complement,weakness
677,complex,weakness
678,compliant,power
679,complic,weakness
680,complicit,power
681,compliment,power
682,complimentari,power
683,comprehens,weakness
684,compromis,weakness
685,compuls,power
686,compulsori,weakness
687,compunct,sadness
688,comrad,power
689,conced,power
690,conceit,power
691,conceiv,power
692,concern,power
693,concess,weakness
694,concili,power
695,conciliatori,power
696,conclus,weakness
697,concret,weakness
698,concur,power
699,condemn,power
700,condescend,power
701,condescens,power
702,condol,power
703,condon,power
704,conduc,weakness
705,confer,weakness
706,confess,power
707,confid,power
708,conflict,weakness
709,confound,weakness
710,confront,weakness
711,confus,power
712,confut,power
713,congeni,power
714,congest,weakness
715,congratul,power
716,congratulatori,power
717,conquer,weakness
718,conscienc,weakness
719,conscienti,power
720,consensus,power
721,consent,power
722,consider,power
723,consist,weakness
724,consol,weakness
725,conspicu,power
726,conspiraci,weakness
727,conspir,power
728,conspiratori,power
729,constanc,power
730,constern,power
731,constrain,weakness
732,constraint,weakness
733,construct,weakness
734,consum,weakness
735,consumm,power
736,contagi,weakness
737,contamin,weakness
738,contemn,anger
739,contempt,disgust
740,contemptu,disgust
741,contend,power
742,content,happiness
743,contenti,happiness
744,continu,weakness
745,contort,power
746,contradict,power
747,contradictori,power
748,contrari,power
749,contraven,power
750,contribut,weakness
751,contrit,sadness
752,contriv,power
753,controversi,weakness
754,conveni,power
755,convict,weakness
756,convinc,power
757,convolut,power
758,cooper,weakness
759,cope,weakness
760,cordial,weakness
761,cornerston,power
762,correct,power
763,corrod,weakness
764,corros,weakness
765,corrupt,power
766,costeffect,weakness
767,cost,weakness
768,costsav,weakness
769,counterproduct,power
770,coupist,power
771,courag,power
772,court,power
773,courteous,power
774,courtesi,power
775,coven,weakness
776,covet,anger
777,cow,fear
778,coward,power
779,cower,fear
780,cozi,power
781,crackdown,weakness
782,crafti,power
783,cramp,weakness
784,cranki,power
785,crass,power
786,crave,power
787,craven,power
788,crawl,fear
789,craze,power
790,crazili,power
791,crazi,power
792,creativ,power
793,credenc,power
794,credibl,power
795,credul,power
796,creep,fear
797,crime,weakness
798,crimin,weakness
799,cring,power
800,crippl,power
801,crisi,weakness
802,crisp,weakness
803,critic,power
804,crook,power
805,cross,power
806,crowd,weakness
807,crucifi,anger
808,crude,weakness
809,cruel,power
810,cruelli,fear
811,cruelti,power
812,crumbl,weakness
813,crumpl,weakness
814,crusad,power
815,crush,weakness
816,cri,power
817,culpabl,power
818,cumbersom,power
819,cuplrit,power
